Person_ID,Height_cm,Weight_kg,Waist_Circumference_cm,Hip_Circumference_cm,Body_Fat_Percentage
55,148,69,73,109,24.29450151334878
56,178,111,61,137,39.883688489183236
57,157,111,68,117,11.784147066018424
58,143,71,96,132,10.095035457421051
59,164,76,79,110,29.205949346788714
60,199,94,85,115,18.9530473708563
61,153,105,88,98,17.211471660984515
62,189,95,60,127,19.356972400128413
63,197,63,114,124,17.68142695314863
64,148,65,94,115,10.923701489813435
65,165,49,65,109,39.14599127171766
66,192,86,96,134,16.622364653583453
67,141,105,112,128,32.02089287767919
68,159,66,118,134,32.87789184082526
69,167,65,64,112,37.87772194021688
70,186,114,92,97,10.9164837128014
71,199,45,108,131,36.16145015341023
72,146,49,110,128,25.816785425194006
73,183,56,73,138,28.976323298974837
74,147,90,71,107,29.33410831363101
75,186,78,101,138,34.59393414954182
76,174,93,79,126,20.002219664773314
77,153,89,112,90,31.9915356957998
78,156,71,109,136,25.857343291665913
79,175,117,83,139,33.80182042916043
80,189,70,118,133,39.716380983104
81,179,91,102,124,16.019530522112838
82,143,100,93,112,39.83945924679993
83,141,107,84,96,12.694364628483221
84,145,92,109,85,10.069526437144416
85,193,105,88,83,11.324858085334938
86,181,70,116,99,20.25347214210285
87,143,80,98,127,28.987189920353025
88,193,45,90,126,12.070886226635489
89,168,52,115,106,10.169974435887019
90,157,96,106,94,38.11273085376384
91,165,91,102,85,34.65779907819789
92,183,100,109,126,34.27549513417093
93,173,58,82,93,36.53272826505931
94,149,72,103,139,31.001028183163132
95,175,46,97,90,13.132123892442443
96,153,70,79,118,21.973005642211692
97,170,58,82,88,31.694484593938885
98,187,103,104,105,18.41003382374563
99,154,100,111,95,30.62219092408713
100,147,51,75,84,10.73495344802957
101,153,47,109,136,19.184120226387797
102,162,67,101,131,26.47391008831518
103,199,62,119,89,28.96269488518727
104,196,82,114,129,27.311219933857323
105,179,59,67,82,30.932688282202886
106,160,108,109,92,10.182662447195172
107,155,72,80,122,13.028235999325645
108,184,118,60,128,36.06832756837435
109,157,83,114,109,30.452459322704836
110,186,101,67,133,13.38794928058034
111,192,61,88,124,35.26223312195738
112,163,88,91,85,17.266936534737006
113,165,69,97,96,24.347796525856705
114,164,61,64,138,14.355895386539808
115,199,57,106,124,31.3033016926512
116,199,69,81,130,30.005632630428035
117,199,112,106,132,16.333374134984084
118,184,54,93,98,35.902023005710056
119,180,111,60,121,22.039180726591365
120,168,62,114,114,18.775452732122254
121,154,78,114,125,14.569887683936063
122,184,52,85,105,17.985040375466124
123,140,84,102,130,10.66080763671451
124,164,86,69,84,27.497724773683466
125,146,85,89,108,35.26692239031844
126,148,50,109,116,26.469413483249255
127,163,96,77,99,16.578218857716273
128,140,70,76,128,11.010075346416182
129,183,108,85,100,16.438842197764085
130,147,103,67,89,22.48364284213277
131,163,100,106,84,32.78834286099389
132,150,103,99,115,15.635285576133224
133,190,114,108,85,31.593743600640583
134,156,77,71,105,36.00800405055651
135,147,97,86,83,23.618405443250712
136,174,66,67,118,34.6429597492778
137,174,65,84,118,26.639720441052866
138,172,114,105,129,29.11272511242715
139,198,114,63,114,25.78835381014608
140,144,48,92,80,23.895181502540254
141,181,119,60,103,17.03960325327548
142,178,106,78,136,19.095821783831383
143,197,106,90,115,18.69910356830827
144,180,68,75,85,26.89866792861444
145,167,99,73,120,13.598610790716698
146,146,53,112,133,37.503750721070055
147,148,47,107,125,31.6196543584934
148,147,75,64,139,22.04336892739581
149,151,84,100,123,14.758724335791339
150,173,80,85,139,36.459765091649075
151,172,68,87,136,34.713342703034954
152,187,50,61,110,31.65164658151538
153,194,110,109,99,18.146411422337273
154,162,119,65,103,22.07339912301007
155,163,48,68,104,13.0824475735727
156,176,50,92,115,15.671185741825951
157,174,95,100,100,33.49049911950199
158,183,106,84,109,31.451161565520515
159,179,101,107,103,27.80457288927804
160,161,110,72,123,36.87180177778519
161,166,119,68,121,27.49799553439136
162,174,52,112,109,24.00903999890832
163,140,70,72,101,20.21112238917288
164,174,95,90,107,38.213455172085176
165,176,89,100,86,12.481463845730605
166,186,88,70,114,37.92662116182425
167,153,49,63,134,34.80143979793055
168,142,114,93,107,13.89789773607104
169,140,70,97,93,26.949530730257607
170,144,112,105,135,35.99643945247261
171,165,63,63,89,27.15427490821461
172,194,64,97,95,37.21599464681867
173,153,56,78,95,38.289514504481275
174,178,91,65,133,22.671535665529177
175,166,45,93,110,21.319409842189707
176,148,58,77,121,38.0896346190747
177,154,108,72,104,30.254201834490043
178,154,82,100,92,13.480680440445079
179,165,81,82,85,11.268752476680437
180,181,55,78,123,26.938871529917893
181,199,47,104,88,37.905128963152734
182,152,77,70,124,35.32746107217455
183,190,50,60,115,30.275432393930092
184,171,94,83,135,14.173475466732626
185,178,54,113,122,17.626941512460867
186,188,49,66,99,36.26533679657848
187,191,67,84,97,15.484217099707013
188,171,54,80,137,18.353182247513036
189,143,88,74,122,13.888019535863258
190,169,46,60,136,30.283246942432335
191,176,57,71,100,38.31946916089629
192,162,84,117,83,18.06904094786158
193,178,46,66,129,24.26219823550221
194,184,109,74,112,29.030192191336127
195,154,107,80,106,39.983987446468916
196,182,117,78,86,13.144241949927164
197,168,61,119,85,24.957123985171275
198,175,53,88,94,21.553603597075004
199,152,119,84,97,35.97460495667065
200,171,59,92,111,24.279031930349678
201,146,68,108,135,13.329325737554443
202,198,82,91,90,29.03272435859751
203,190,79,108,99,33.123418547916394
204,161,93,94,103,10.086437549968437
205,167,113,103,94,35.76870056261889
206,141,106,97,127,15.58069000016997
207,181,104,85,86,26.562080939601337
208,184,94,70,100,22.473925020623504
209,196,119,94,121,31.58961449831591
210,192,53,67,105,21.134848443572253
211,145,78,105,123,36.092895300451325
212,167,79,73,135,31.914890828763706
213,167,45,69,93,29.431395131887644
214,183,84,61,136,33.88721786688563
215,183,108,105,116,32.620691047851466
216,159,66,68,137,11.0781602476466
217,169,104,62,100,21.842030615344846
218,150,108,80,97,37.92421891949469
219,197,116,85,84,13.771728069766787
220,194,55,67,82,32.11289651296154
221,167,58,107,102,39.237754340059894
222,164,104,61,105,11.56595887134915
223,178,74,65,116,30.465816418798315
224,172,79,87,103,24.04462423903091
225,140,81,112,128,27.375257661241665
226,196,49,88,98,12.560240094529746
227,166,70,85,130,11.290208556008185
228,196,106,84,104,30.005999816527652
229,191,48,71,100,34.69928289462153
230,152,86,64,91,33.46046004798902
231,180,62,93,136,26.31417183598712
232,142,84,107,120,12.996004634085345
233,178,116,96,112,30.641333315080416
234,145,83,74,129,17.256666506624377
235,147,58,103,132,37.33206108302151
236,166,76,95,83,35.147960786371144
237,148,95,74,121,31.281489012621726
238,176,82,102,136,38.465378674933916
239,172,67,107,86,10.942654645338187
240,190,107,82,101,32.086012751822864
241,181,59,65,134,19.90728338009216
242,183,69,105,112,37.18197657059096
243,163,61,109,96,18.000255899859326
244,154,110,103,103,31.745694979450512
245,198,97,118,113,36.32941058952344
246,193,95,102,107,11.249704551480473
247,171,83,104,137,21.929427387761084
248,171,95,80,122,32.869270960658156
249,163,114,82,120,23.647566685227613
250,180,50,102,118,18.01757889380786
251,191,111,114,101,16.5941604646957
252,188,51,75,128,13.945548007491338
253,188,95,106,96,35.71388679568847
254,197,116,112,113,27.26066209754668
255,191,86,119,85,12.29154834974368
256,151,108,74,125,21.477409707119065
257,178,59,84,85,21.032009524153295
258,141,73,95,113,15.45217572128389
259,142,77,70,80,23.06522876416572
260,188,71,110,89,19.962980961794095
261,176,80,74,100,20.254111164765476
262,188,73,63,84,32.17079673363876
263,195,82,80,81,16.697901565155888
264,156,101,72,101,29.25579876566066
265,198,71,81,127,27.119488716428044
266,188,99,78,136,27.04277537013602
267,141,77,93,81,29.89022038425328
268,141,112,73,89,26.451461085869617
269,167,110,63,113,36.37765344539154
270,193,54,107,95,30.267402758507796
271,162,49,112,127,26.408897541141645
272,176,118,111,130,34.89289360862935
273,171,82,105,118,28.18439694800439
274,172,57,86,101,18.73432743355537
275,140,75,88,91,16.212847545297137
276,158,91,106,103,14.569833569880364
277,141,96,87,126,36.98365637638305
278,192,100,94,119,31.304062953941976
279,183,59,67,117,38.12135314492962
280,165,73,75,139,28.09875417144829
281,171,52,101,138,24.202026444847377
282,145,49,95,89,11.79149466912668
283,171,73,89,114,30.149268446380894
284,194,91,77,130,27.466262793046933
285,143,112,61,128,39.706266807628644
286,194,89,108,111,17.17476333346729
287,150,46,72,86,25.922120658605074
288,195,71,63,100,29.52872005354218
289,198,80,85,99,29.33773524227031
290,156,80,84,105,26.838806288452083
291,177,70,89,83,33.30784030981677
292,163,87,70,125,16.14943628580449
293,144,71,66,131,31.768816008232477
294,191,113,90,101,28.592037142992677
295,173,64,103,94,36.8822533538372
296,145,55,69,135,35.41583317100745
297,161,118,98,119,19.4544111739766
298,150,82,72,100,18.287119749254593
299,187,50,90,94,39.449599715573434
300,155,116,66,101,25.817955427457697
301,172,67,115,131,37.192628917433105
302,148,91,108,107,14.916430713414465
303,199,90,101,93,29.28456744400523
304,198,56,101,106,34.29580562081759
305,145,57,115,120,38.42185748759341
306,155,106,95,119,20.120204230510705
307,168,104,79,137,31.749435097721573
308,142,87,63,107,26.164390271188573
309,159,112,113,105,11.818867781994046
310,199,49,66,128,30.699992119268302
311,198,81,113,81,30.702896747135302
312,175,116,60,104,37.91820414539611
313,158,75,103,135,24.91937338506917
314,165,53,115,82,16.907527621315438
315,142,95,104,87,11.336914703460375
316,158,73,101,123,22.46926560057717
317,159,84,106,112,19.057501002325054
318,171,85,118,121,32.83264918071627
319,146,55,72,131,20.628032945231396
320,191,67,114,114,38.47213588944532
321,180,45,81,85,38.869306089633525
322,172,90,113,118,28.627257706531243
323,179,65,80,131,37.859808610446485
324,178,80,81,102,32.825630335434866
325,157,98,87,104,26.405789229253784
326,179,101,68,138,15.409238062683343
327,140,45,85,129,23.757938305415202
328,150,107,68,122,26.826233900878528
329,167,98,74,98,35.918847422050305
330,196,99,69,84,24.440001296069944
331,164,84,83,130,36.9302401803387
332,189,59,117,90,30.230469370704068
333,162,65,116,135,14.10997189161014
334,170,91,101,91,39.84944107975279
335,169,117,67,89,25.816979822617377
336,181,97,83,87,21.755748892272365
337,174,53,75,103,29.773412934085794
338,146,118,108,139,13.266799419431173
339,199,96,85,107,29.09615940260063
340,155,101,86,120,24.94708001497819
341,165,70,96,115,22.200222099957493
342,187,85,63,116,38.590600635366975
343,196,79,109,100,25.676191501961597
344,191,107,83,87,16.573524384098153
345,199,69,78,134,23.76890438131896
346,188,119,95,88,37.581622137180176
347,141,82,119,126,15.28286413991784
348,140,46,98,94,16.418711160647106
349,187,51,69,127,10.390887032712513
350,151,78,84,125,10.425701481873016
351,144,61,77,119,34.881748808755376
352,176,87,78,97,31.963678205288673
353,171,103,95,121,20.65123169355875
354,198,95,69,139,30.94933471682718
355,194,98,92,99,21.856177789299107
356,148,68,114,85,38.58690387993482
357,180,69,109,91,39.011580442781046
358,174,115,64,81,21.783813274280302
359,158,96,106,86,35.62665719022604
360,187,114,108,95,33.192671250923986
361,155,77,94,82,19.299998115153677
362,142,93,103,124,16.96119486703318
363,159,73,93,82,23.747039511785015
364,163,107,92,106,33.44046521843219
365,193,66,114,129,38.80503354186236
366,195,70,80,122,32.90737206599718
367,172,72,76,119,35.6562095505511
368,163,93,81,117,28.091929185115497
369,191,115,107,112,35.06223492526378
370,150,93,96,107,33.53262574010253
371,188,64,74,80,21.309566257788404
372,147,107,94,134,26.559709063621632
373,175,105,87,87,34.142593659690846
374,177,93,66,116,11.381702025698692
375,179,115,91,111,34.24237847067489
376,159,45,70,139,15.336643721470704
377,174,57,69,127,25.440508513643167
378,187,95,68,122,34.24826318667813
379,164,100,73,116,17.614632344700844
380,174,106,72,83,17.37422317918459
381,164,76,116,109,22.082931953867558
382,168,74,84,85,36.839283927329035
383,157,73,61,125,10.013283443116237
384,185,93,94,133,37.041492899258046
385,157,89,66,98,14.614210739248232
386,141,74,80,111,39.70259128202446
387,193,60,77,88,38.645409791154044
388,174,84,62,91,24.840255687738498
389,155,63,101,90,25.381607434378843
390,180,62,113,125,24.44648020827563
391,175,45,98,134,29.063309369785678
392,172,91,100,95,12.721651067047931
393,143,110,108,80,10.978538450246996
394,172,82,70,124,11.731087852476966
395,153,95,98,134,23.330960477245434
396,160,107,83,132,18.2664381765845
397,187,48,119,100,28.661186871129814
398,159,45,105,109,39.773268681243366
399,195,52,78,92,21.589695192293977
400,147,73,63,113,27.2152376231354
401,146,99,85,83,22.468116877220062
402,142,47,97,107,35.418150031655784
403,156,76,101,117,37.06709210386714
404,172,54,91,137,36.320668366157804
405,187,118,98,110,39.23116716037772
406,151,78,104,138,10.82557555421246
407,198,99,105,134,35.19448486436593
408,190,76,95,106,32.553165191172795
409,161,94,99,84,16.860832282010943
410,194,51,96,104,38.689602801625824
411,161,52,92,82,14.445337846898365
412,185,109,95,112,30.38649781401725
413,169,101,62,83,16.746706504477373
414,177,111,68,104,22.94141946322224
415,177,103,67,99,31.574796908337067
416,184,116,92,113,26.8997392609914
417,190,98,118,105,22.82505493984335
418,193,111,65,84,19.790152927959618
419,147,95,100,114,35.18978967126371
420,166,52,98,107,14.314430509444412
421,166,78,63,108,22.903086295894003
422,173,79,72,88,37.11272715325427
423,160,76,108,131,35.37548651379903
424,169,90,119,117,22.028252874191402
425,172,60,61,129,32.89325090803925
426,167,112,119,85,34.69482492126578
427,186,81,64,98,36.66662272010889
428,172,98,103,139,26.335173071476838
429,144,58,86,123,16.133826581641355
430,199,99,91,136,17.65927229511795
431,187,92,80,90,18.870840221248127
432,158,51,67,81,27.814074424288464
433,143,118,97,126,10.984288723858253
434,174,51,67,123,29.08127406339905
435,188,77,109,123,20.93062715284696
436,156,67,62,88,18.857254074689266
437,183,63,113,100,36.38489712184379
438,167,63,103,103,23.800071867423966
439,169,80,117,113,12.851591365980784
440,168,73,62,101,34.80240304078741
441,185,104,81,82,11.429237723095198
442,192,46,65,91,31.8024767250459
443,145,45,61,107,33.21718665311995
444,174,91,82,109,20.578078177865745
445,199,113,103,105,34.7436356883336
446,180,64,61,127,25.469782175693602
447,176,55,97,100,23.898809598183902
448,163,46,76,107,11.362098444060777
449,168,111,94,135,18.700875809467178
450,188,56,93,105,37.93029912655899
451,185,64,82,112,21.754718898505
452,192,49,89,100,26.40101561670305
453,170,81,111,114,25.960650369527553
454,174,82,67,131,27.7129326946808
455,199,53,81,113,11.839928669298478
456,172,97,103,120,20.86528764396185
457,191,88,117,130,31.693848216476624
458,160,68,95,126,16.01680753218949
459,171,118,64,97,16.107351326390813
460,162,74,72,137,10.302718200670743
461,172,103,88,90,23.12445779824629
462,142,58,90,136,36.48203142020266
463,157,53,106,102,11.55702830761927
464,164,84,116,127,15.733561284880079
465,181,110,114,101,19.302536150282652
466,170,69,75,96,31.951742096926388
467,193,117,101,84,29.219067784077595
468,197,66,89,123,22.47831713745565
469,142,48,116,90,32.77206817775127
470,179,70,114,109,28.28893034970706
471,185,102,75,94,36.881223989716574
472,163,73,71,106,34.54080247416079
473,189,81,76,114,17.584408182676015
474,171,119,75,112,18.143157329026007
475,186,114,71,99,13.76069427377157
476,161,62,67,95,20.108941771523696
477,162,86,79,113,39.98631756157283
478,141,85,62,81,22.172535058451828
479,166,82,75,114,16.61465304067319
480,181,78,89,119,32.874486534266595
481,141,61,104,135,26.27413010387968
482,165,81,82,107,14.488043485808575
483,156,69,87,126,21.42069043482597
484,179,71,110,118,22.4340914661803
485,172,101,99,85,32.61489101707656
486,148,75,113,88,10.620141066757133
487,182,50,64,99,18.070589403949313
488,193,84,79,139,25.527889039465663
489,187,56,99,80,18.0654022735853
490,178,97,115,87,28.853021422569967
491,168,115,103,134,24.456024378238496
492,181,54,60,102,20.85130764578742
493,194,89,116,82,38.47625880611537
494,165,61,89,83,28.964784975593723
495,174,70,80,137,13.898241168038236
496,189,106,79,104,26.802750923301865
497,164,90,65,126,33.42195559602703
498,163,108,81,117,31.25469092478392
499,152,46,77,94,15.16267687885778
500,199,98,67,100,39.1725999712031
501,197,109,98,114,23.46440937239818
502,146,95,91,136,14.770750112207839
503,196,97,92,132,15.405872623844438
504,175,80,112,132,12.947049765672414
505,184,70,75,125,34.105543253048026
506,159,73,71,131,13.660914829655459
507,140,65,97,93,13.753757714252409
508,147,55,111,115,35.51414844282513
509,185,84,93,91,20.33812253342679
510,155,55,73,96,10.925737129242174
511,153,80,95,118,11.556858985552326
512,151,103,92,88,14.265113401116867
513,190,83,82,114,16.401800439270687
514,162,98,109,139,29.954385827152162
515,154,99,104,92,14.719788400054847
516,167,68,61,94,13.56623173531216
517,173,66,100,97,32.941574244288375
518,141,113,80,130,30.131658515797433
519,171,100,61,112,23.059726643657086
520,162,77,86,85,26.47929314440312
521,161,80,116,138,19.359520609792554
522,190,64,68,106,24.47501260706082
523,164,106,60,102,25.20017946948237
524,197,117,70,138,21.617118135342878
525,161,70,62,106,37.19716632016488
526,197,110,111,113,10.481855949430184
527,197,117,82,135,33.46513789273739
528,161,117,85,125,13.73148493723973
529,188,84,63,117,33.92642081611598
530,191,61,77,93,28.477357470301637
531,181,45,114,115,35.29834272809207
532,145,105,65,132,12.925429769226923
533,154,87,94,87,26.769419022993223
534,193,86,81,114,25.032636407865912
535,182,69,102,98,31.18579548890076
536,199,83,74,109,26.028716556810274
537,176,79,81,93,26.222037013993127
538,172,47,119,138,22.88787830728194
539,147,88,96,99,19.265032720220226
540,192,95,111,128,24.467930837565767
541,199,56,101,104,13.554770763052018
542,183,63,71,119,38.84540016949254
543,183,88,106,103,31.43232290879795
544,144,103,108,93,38.5740135006354
545,178,93,101,105,16.801821469898897
546,143,105,97,117,36.38023060529584
547,145,61,77,102,34.26369953690615
548,184,118,104,101,30.31457237373021
549,171,101,94,127,28.750875582556173
550,191,99,89,136,19.4964899580361
551,169,91,83,98,34.49232354895092
552,186,56,101,125,25.045463844392014
553,174,106,89,130,12.126747276738561
554,194,52,73,82,19.3858948256539
555,179,65,65,121,38.05891295635983
556,191,114,62,98,35.52040781814539
557,155,116,75,88,39.45717094229617
558,152,69,66,107,28.839801478122943
559,189,56,111,99,17.425302194212357
560,199,59,73,124,14.884451490305914
561,181,103,68,86,15.607433218253849
562,169,70,74,93,10.593869750417632
563,158,70,80,88,21.720463329578173
564,156,91,94,138,15.742830414986276
565,195,76,61,139,22.34966381370107
566,158,54,86,134,38.04983295516296
567,167,60,61,136,22.9162062852157
568,197,115,94,139,36.339534909545044
569,194,61,77,98,28.165142998476295
570,165,67,73,126,17.413946639841758
571,176,70,79,131,20.675642777776343
572,165,51,77,93,12.517586074642882
573,192,58,69,135,20.003877807880315
574,162,51,84,117,30.326228365106022
575,148,53,61,132,12.163332787883055
576,151,92,84,115,16.162042254340882
577,192,116,113,119,21.443231242399342
578,140,103,92,96,39.46148611047887
579,197,83,95,109,33.545854688766404
580,197,62,90,88,32.00460239476311
581,140,103,73,112,13.48572869576338
582,186,61,60,135,33.42987680844975
583,173,58,105,131,33.55806434548045
584,171,75,75,104,28.033080868729847
585,193,68,113,93,39.71085345995115
586,187,104,105,90,19.757617177736556
587,164,89,111,132,38.23817344725555
588,179,47,62,114,37.44193344869511
589,184,81,94,120,10.344419792481336
590,192,87,100,138,23.50349579424433
591,140,84,65,93,39.3131269915472
592,155,99,84,109,13.093640872242274
593,178,83,72,120,26.433540831499585
594,144,59,112,83,39.36872521123313
595,161,48,93,138,26.664862723175805
596,168,69,67,83,15.69445908916468
597,194,57,80,107,27.465496902777694
598,142,77,93,87,16.133217218486404
599,151,60,63,81,25.591127886834528
600,165,86,84,120,12.22126653737044
601,155,110,74,125,28.164480076432138
602,190,99,63,101,25.503698173844747
603,176,86,104,120,32.2048410628439
604,161,78,119,135,28.92101413476355
605,196,74,71,134,26.4881880559227
606,168,57,91,95,30.693365477443635
607,153,57,91,108,14.318257407166925
608,167,62,87,128,27.860789837758123
609,144,76,72,127,15.16331808468333
610,186,83,90,109,37.765666235556424
611,188,90,73,91,12.050023145368126
612,169,73,79,114,22.911242490723797
613,185,106,77,90,30.873924329663346
614,191,106,88,125,23.74066635004776
615,144,101,119,129,12.762857596987072
616,151,60,65,100,26.601370483801222
617,155,100,91,100,29.248957264820636
618,165,54,88,84,31.11376932971523
619,165,74,102,127,21.19779443388277
620,187,69,61,99,26.909799130862865
621,160,49,119,116,23.52059424816739
622,178,109,82,82,30.161681162567604
623,175,93,78,123,27.506709019744555
624,172,47,90,112,25.772686586774046
625,169,89,110,132,17.485731005147457
626,176,58,64,88,10.060555532447017
627,162,74,78,88,15.222450259342878
628,197,112,93,83,13.51198124272506
629,149,62,69,114,23.472542350328403
630,193,106,84,96,28.36774452285534
631,144,81,61,113,16.392550260544247
632,175,69,70,103,38.171712879015615
633,173,92,109,111,10.200463876716633
634,191,109,90,80,33.169030454960286
635,170,97,115,87,28.756143085913266
636,149,117,74,124,21.206644031430457
637,197,59,68,102,11.514668332372239
638,158,93,82,126,28.82459715352838
639,197,112,78,119,21.56840538596944
640,171,56,68,91,38.08801418239658
641,140,103,94,133,26.259702246692978
642,195,81,80,91,38.189545338805246
643,144,105,68,125,16.61451080419912
644,184,87,87,126,31.7717773109231
645,143,114,105,94,28.51747062546177
646,155,83,110,120,32.182246894939354
647,163,100,66,98,16.440035919176104
648,155,107,75,105,29.94983548713321
649,194,90,75,131,24.941211791706067
650,141,55,119,108,32.28474924718949
651,188,106,92,101,19.81133932455453
652,167,69,63,119,36.70171076395758
653,171,115,63,100,12.529039438340511
654,166,96,98,130,34.21567956373564
655,159,48,99,117,35.83958877445272
656,163,103,76,99,34.51756934100463
657,151,116,96,136,25.38179182785328
658,189,64,98,108,23.15154940092284
659,174,107,119,130,39.887868595746305
660,199,98,111,83,16.875158536424863
661,172,118,88,134,26.40627897628134
662,172,101,111,86,30.120265761469767
663,190,85,95,107,31.02602907584296
664,182,47,119,107,16.12073997215736
665,176,50,97,83,29.619822770194038
666,151,49,98,101,34.55108699444012
667,142,49,109,91,11.500557304633366
668,140,98,96,124,37.3456387997595
669,172,91,111,82,10.885121654356178
670,179,93,94,101,20.67913097465183
671,149,53,66,123,10.474395886988862
672,182,64,86,81,12.314355056187456
673,183,105,87,103,37.33504855540237
674,168,79,81,113,20.645824922384435
675,152,94,73,106,22.743145912751586
676,151,106,66,134,16.46033144147658
677,170,61,96,120,27.912873105601594
678,185,47,81,80,27.84409644033369
679,141,76,64,87,21.16601175475658
680,190,57,114,102,19.99104615416195
681,189,117,61,117,36.54892924541763
682,174,112,86,85,21.498527189266042
683,162,58,80,101,24.805029764632245
684,156,55,113,104,18.499142872747917
685,165,100,97,97,33.60308510071382
686,147,111,74,96,21.92344470697275
687,168,73,80,91,25.408331396329736
688,165,53,69,85,17.60071510178984
689,149,111,82,105,39.629787770237556
690,165,69,117,106,18.74487222771169
691,173,86,115,87,33.122275927166555
692,190,53,98,98,22.824869510702776
693,180,84,64,139,16.186522152524198
694,146,69,60,121,33.99156291894583
695,143,49,72,80,20.008203670871296
696,197,55,80,136,35.95580042193433
697,192,103,85,108,37.45771554753469
698,189,82,109,124,35.79471506173827
699,184,116,104,128,11.05023744420417
700,150,49,80,114,33.62120035015317
701,168,92,112,119,22.340183994974318
702,195,62,77,93,36.21168760546675
703,175,114,96,114,29.138627880542163
704,164,81,104,127,35.00929402431875
705,160,104,91,124,24.982953096005062
706,196,92,95,99,26.050765137967986
707,175,72,76,135,14.331628964010017
708,149,113,94,128,33.51962076068067
709,176,84,108,92,22.58168835000915
710,148,89,119,117,25.002403548147477
711,163,106,70,128,33.552931422871225
712,174,102,80,125,27.96536200238317
713,188,111,111,128,16.032961823280022
714,174,100,114,87,27.706979774526783
715,187,84,112,122,22.22898573938967
716,175,84,85,99,24.08576626131588
717,157,77,63,139,10.849338232080033
718,188,50,93,112,16.30088048548845
719,178,63,111,105,18.431142441430847
720,171,84,107,118,31.388800235764172
721,163,103,119,100,10.34477419894346
722,162,103,77,132,22.26331783687396
723,171,92,99,128,37.72080611277198
724,176,85,94,121,13.356418496473715
725,151,57,100,122,25.492731646558333
726,188,89,88,133,33.59567147172541
727,194,97,111,120,38.2759392256035
728,152,86,88,88,32.40329918601154
729,162,107,97,103,31.616966459332183
730,164,71,101,116,34.794642705872874
731,174,82,80,128,23.38603662932631
732,180,104,101,120,34.17533597853499
733,169,51,72,96,10.238932142363534
734,156,49,108,103,37.73683166130415
735,188,89,100,100,23.29919528551526
736,159,102,76,130,26.601405635972426
737,187,75,115,138,17.64646746744647
738,164,67,68,118,32.27592498521264
739,161,86,100,134,12.299074194257464
740,152,54,60,120,36.17907407640506
741,198,76,61,118,34.84350487019029
742,158,97,119,92,16.481803487342994
743,188,74,107,90,34.27973194855787
744,175,83,88,125,33.59073199184444
745,151,75,92,98,28.96649793261847
746,180,46,69,90,21.205605306990627
747,158,56,109,92,18.144962625456035
748,151,83,117,125,16.9535077086805
749,148,110,119,124,19.558268882908216
750,146,57,99,80,37.10675330297591
751,167,90,80,119,12.329223279663438
752,153,71,87,123,34.86613828758876
753,170,61,70,98,20.46670225125471
754,191,104,114,91,25.647981880340744
755,158,108,93,87,33.834569009454725
756,197,79,67,87,36.53129641068914
757,186,114,118,132,20.343442602179408
758,155,74,81,124,23.85530443825331
759,192,115,67,91,22.435481944503767
760,144,118,108,127,10.397531005117317
761,174,107,74,112,18.8782866657597
762,151,72,76,124,23.775677011976853
763,164,104,119,105,22.332808266413195
764,191,81,82,118,31.65787682547038
765,198,66,83,107,21.544108516633095
766,160,112,104,137,24.681293469120106
767,175,64,78,84,22.8882577639709
768,192,112,64,87,32.21878446683111
769,162,108,91,104,35.88917196960888
770,155,61,103,106,25.956672370225427
771,196,56,60,125,33.68296582585573
